,REPORTER,Reporter country,FLOW,Flow,PARTNER,Partner country and zone,SECTOR,Year,Unit Code,PowerCode,Value
0,CAN,Canada,1,Imports,AUT,Austria,TOTAL,2008,USD,Millions,1123.693
1,CAN,Canada,1,Imports,AUT,Austria,TOTAL,2009,USD,Millions,748.611
2,CAN,Canada,1,Imports,AUT,Austria,TOTAL,2010,USD,Millions,874.254
3,CAN,Canada,1,Imports,AUT,Austria,TOTAL,2011,USD,Millions,971.71
4,CAN,Canada,1,Imports,AUT,Austria,TOTAL,2012,USD,Millions,1010.16
5,CAN,Canada,1,Imports,AUT,Austria,TOTAL,2013,USD,Millions,1085.17
6,CAN,Canada,1,Imports,AUT,Austria,TOTAL,2014,USD,Millions,1221.39
7,CAN,Canada,1,Imports,AUT,Austria,TOTAL,2015,USD,Millions,1157.69
8,CAN,Canada,1,Imports,AUT,Austria,TOTAL,2016,USD,Millions,1122.35
9,CAN,Canada,1,Imports,AUT,Austria,TOTAL,2017,USD,Millions,1263.89
10,CAN,Canada,1,Imports,AUT,Austria,TOTAL,2019,USD,Millions,1520.57
11,CAN,Canada,1,Imports,AUT,Austria,TOTAL,2020,USD,Millions,1287.06
12,CAN,Canada,1,Imports,AUT,Austria,TOTAL,2021,USD,Millions,1655.4
14,FRA,France,1,Imports,AUT,Austria,TOTAL,2008,USD,Millions,6287.42
15,FRA,France,1,Imports,AUT,Austria,TOTAL,2009,USD,Millions,5053.02
16,FRA,France,1,Imports,AUT,Austria,TOTAL,2010,USD,Millions,6323.78
17,FRA,France,1,Imports,AUT,Austria,TOTAL,2011,USD,Millions,6471.92
18,FRA,France,1,Imports,AUT,Austria,TOTAL,2012,USD,Millions,5788.94
19,FRA,France,1,Imports,AUT,Austria,TOTAL,2013,USD,Millions,6069.73
20,FRA,France,1,Imports,AUT,Austria,TOTAL,2014,USD,Millions,5720.71
21,FRA,France,1,Imports,AUT,Austria,TOTAL,2015,USD,Millions,4766.2
22,FRA,France,1,Imports,AUT,Austria,TOTAL,2016,USD,Millions,4815.23
23,FRA,France,1,Imports,AUT,Austria,TOTAL,2017,USD,Millions,5116.65
24,FRA,France,1,Imports,AUT,Austria,TOTAL,2018,USD,Millions,5962.47
25,FRA,France,1,Imports,AUT,Austria,TOTAL,2019,USD,Millions,5567.93
26,FRA,France,1,Imports,AUT,Austria,TOTAL,2020,USD,Millions,4947.79
27,FRA,France,1,Imports,AUT,Austria,TOTAL,2021,USD,Millions,6094.11
28,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2008,USD,Millions,39451.8
29,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2009,USD,Millions,33254.1
30,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2010,USD,Millions,37659.3
31,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2011,USD,Millions,43883.4
32,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2012,USD,Millions,40886.6
33,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2013,USD,Millions,41958.7
34,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2014,USD,Millions,41977.4
35,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2015,USD,Millions,35961.0
36,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2016,USD,Millions,36726.8
37,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2017,USD,Millions,40436.8
38,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2018,USD,Millions,45473.0
39,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2019,USD,Millions,44242.5
40,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2020,USD,Millions,42369.1
41,DEU,Germany,1,Imports,AUT,Austria,TOTAL,2021,USD,Millions,51061.6
42,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2008,USD,Millions,11990.8
43,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2009,USD,Millions,9065.93
44,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2010,USD,Millions,9934.86
45,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2011,USD,Millions,10965.4
46,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2012,USD,Millions,9940.46
47,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2013,USD,Millions,10110.0
48,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2014,USD,Millions,10095.1
49,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2015,USD,Millions,8574.45
50,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2016,USD,Millions,8391.39
51,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2017,USD,Millions,9261.41
52,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2018,USD,Millions,10728.4
53,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2019,USD,Millions,9968.73
54,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2020,USD,Millions,8876.9
55,ITA,Italy,1,Imports,AUT,Austria,TOTAL,2021,USD,Millions,12158.6
56,NLD,Netherlands,1,Imports,AUT,Austria,TOTAL,2009,USD,Millions,1645.31
57,NLD,Netherlands,1,Imports,AUT,Austria,TOTAL,2010,USD,Millions,1714.81
58,NLD,Netherlands,1,Imports,AUT,Austria,TOTAL,2011,USD,Millions,1939.2
59,NLD,Netherlands,1,Imports,AUT,Austria,TOTAL,2012,USD,Millions,1766.65
60,NLD,Netherlands,1,Imports,AUT,Austria,TOTAL,2013,USD,Millions,1857.27
61,NLD,Netherlands,1,Imports,AUT,Austria,TOTAL,2014,USD,Millions,1902.96
62,NLD,Netherlands,1,Imports,AUT,Austria,TOTAL,2015,USD,Millions,1736.16
63,NLD,Netherlands,1,Imports,AUT,Austria,TOTAL,2016,USD,Millions,1734.34
64,NLD,Netherlands,1,Imports,AUT,Austria,TOTAL,2017,USD,Millions,2161.26
65,NLD,Netherlands,1,Imports,AUT,Austria,TOTAL,2018,USD,Millions,2732.81
66,NLD,Netherlands,1,Imports,AUT,Austria,TOTAL,2019,USD,Millions,2529.36
67,NLD,Netherlands,1,Imports,AUT,Austria,TOTAL,2020,USD,Millions,2406.87
68,NLD,Netherlands,1,Imports,AUT,Austria,TOTAL,2021,USD,Millions,2819.66
69,POL,Poland,1,Imports,AUT,Austria,TOTAL,2008,USD,Millions,4048.79
70,POL,Poland,1,Imports,AUT,Austria,TOTAL,2009,USD,Millions,2978.63
71,POL,Poland,1,Imports,AUT,Austria,TOTAL,2010,USD,Millions,3246.14
72,POL,Poland,1,Imports,AUT,Austria,TOTAL,2011,USD,Millions,4150.51
73,POL,Poland,1,Imports,AUT,Austria,TOTAL,2012,USD,Millions,3610.46
74,POL,Poland,1,Imports,AUT,Austria,TOTAL,2013,USD,Millions,3773.42
75,POL,Poland,1,Imports,AUT,Austria,TOTAL,2014,USD,Millions,3948.65
76,POL,Poland,1,Imports,AUT,Austria,TOTAL,2015,USD,Millions,3418.83
77,POL,Poland,1,Imports,AUT,Austria,TOTAL,2016,USD,Millions,3205.36
78,POL,Poland,1,Imports,AUT,Austria,TOTAL,2017,USD,Millions,3668.77
79,POL,Poland,1,Imports,AUT,Austria,TOTAL,2018,USD,Millions,4225.18
80,POL,Poland,1,Imports,AUT,Austria,TOTAL,2019,USD,Millions,4081.85
81,POL,Poland,1,Imports,AUT,Austria,TOTAL,2020,USD,Millions,4015.81
82,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2008,USD,Millions,3400.01
83,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2009,USD,Millions,2331.11
84,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2010,USD,Millions,2358.24
85,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2011,USD,Millions,2487.61
86,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2012,USD,Millions,2060.53
87,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2013,USD,Millions,2081.25
88,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2014,USD,Millions,2062.1
89,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2015,USD,Millions,1954.17
90,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2016,USD,Millions,2051.9
91,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2017,USD,Millions,2069.36
92,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2018,USD,Millions,2442.92
93,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2019,USD,Millions,2311.01
94,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2020,USD,Millions,2023.95
95,ESP,Spain,1,Imports,AUT,Austria,TOTAL,2021,USD,Millions,2655.21
96,GBR,United Kingdom,1,Imports,AUT,Austria,TOTAL,2008,USD,Millions,4128.99
97,GBR,United Kingdom,1,Imports,AUT,Austria,TOTAL,2009,USD,Millions,3396.36
98,GBR,United Kingdom,1,Imports,AUT,Austria,TOTAL,2010,USD,Millions,3799.18
99,GBR,United Kingdom,1,Imports,AUT,Austria,TOTAL,2011,USD,Millions,4372.11
100,GBR,United Kingdom,1,Imports,AUT,Austria,TOTAL,2012,USD,Millions,3876.56
101,GBR,United Kingdom,1,Imports,AUT,Austria,TOTAL,2013,USD,Millions,4215.21
102,GBR,United Kingdom,1,Imports,AUT,Austria,TOTAL,2014,USD,Millions,4547.17
103,GBR,United Kingdom,1,Imports,AUT,Austria,TOTAL,2015,USD,Millions,4158.67
104,GBR,United Kingdom,1,Imports,AUT,Austria,TOTAL,2016,USD,Millions,3845.24
105,GBR,United Kingdom,1,Imports,AUT,Austria,TOTAL,2017,USD,Millions,3772.38
106,GBR,United Kingdom,1,Imports,AUT,Austria,TOTAL,2018,USD,Millions,3800.0
107,USA,United States,1,Imports,AUT,Austria,TOTAL,2009,USD,Millions,5418.94
108,USA,United States,1,Imports,AUT,Austria,TOTAL,2010,USD,Millions,5904.49
109,USA,United States,1,Imports,AUT,Austria,TOTAL,2011,USD,Millions,8226.27
110,USA,United States,1,Imports,AUT,Austria,TOTAL,2012,USD,Millions,8265.6
111,USA,United States,1,Imports,AUT,Austria,TOTAL,2013,USD,Millions,8621.11
112,USA,United States,1,Imports,AUT,Austria,TOTAL,2014,USD,Millions,9566.5
113,USA,United States,1,Imports,AUT,Austria,TOTAL,2015,USD,Millions,10063.4
114,USA,United States,1,Imports,AUT,Austria,TOTAL,2017,USD,Millions,10441.9
115,USA,United States,1,Imports,AUT,Austria,TOTAL,2018,USD,Millions,11416.2
